time/total_timesteps,train/reward,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,time/iterations,train/n_updates,time/fps,train/policy_loss,time/time_elapsed,train/std
1000,2198.8748,0.0,1e-05,425365.25,-55.33953857421875,100,99,72,-25339.21484375,13,1.0000264644622803
2000,-1559.6046,0.0,1e-05,3423586.5,-55.340511322021484,200,199,69,-57804.9140625,28,1.0000498294830322
3000,-131.51588,0.0,1e-05,19666590.0,-55.34099197387695,300,299,70,-220360.90625,42,1.0000611543655396
4000,-1980.8807,0.0,1e-05,4079510.75,-55.34060287475586,400,399,68,-993.21875,58,1.0000536441802979
5000,-745.5184,0.0,1e-05,15797602.0,-55.34003829956055,500,499,69,-199082.171875,71,1.0000380277633667
6000,-150.51387,5.960464477539063e-08,1e-05,9680824.0,-55.338783264160156,600,599,66,-144284.5625,90,1.0000048875808716
7000,3884.1318,0.0,1e-05,1732300.0,-55.338680267333984,700,699,65,-13972.8046875,106,1.0000033378601074
8000,-379.1,5.960464477539063e-08,1e-05,8314729.0,-55.338165283203125,800,799,66,-114282.6484375,120,0.9999918937683105
9000,-558.0899,0.0,1e-05,8895144.0,-55.3394889831543,900,899,66,-140720.0625,135,1.000022530555725
10000,608.975,-1.1920928955078125e-07,1e-05,2269968.0,-55.3407096862793,1000,999,66,-43968.46484375,150,1.0000563859939575
11000,-920.29803,5.900859832763672e-06,1e-05,3626326.0,-55.34120559692383,1100,1099,66,77267.609375,166,1.0000656843185425
12000,-1497.0461,1.7881393432617188e-07,1e-05,16151779.0,-55.3415641784668,1200,1199,65,-205619.0,181,1.0000771284103394
13000,-1088.1617,1.1920928955078125e-07,1e-05,17018990.0,-55.34243392944336,1300,1299,65,-190895.296875,197,1.000098466873169
14000,1633.2197,0.0,1e-05,35326664.0,-55.34245681762695,1400,1399,66,-311228.65625,210,1.000098466873169
15000,-335.04514,0.0,1e-05,9698512.0,-55.34272384643555,1500,1499,66,-163439.1875,227,1.000104546546936
16000,-2242.8357,1.1920928955078125e-07,1e-05,12985243.0,-55.3419303894043,1600,1599,65,-182976.84375,245,1.0000848770141602
17000,-1745.5061,5.960464477539063e-08,1e-05,662357.6875,-55.3424186706543,1700,1699,65,24226.052734375,260,1.0000970363616943
18000,-1270.7107,0.0,1e-05,2499403.75,-55.34334945678711,1800,1799,64,5505.26416015625,278,1.0001202821731567
19000,605.14795,0.0,1e-05,4110848.0,-55.3432731628418,1900,1899,64,-107611.078125,294,1.0001194477081299
20000,-834.9936,0.0,1e-05,8871962.0,-55.34220504760742,2000,1999,64,-112067.0546875,311,1.0000920295715332
21000,408.1495,0.0,1e-05,5081521.5,-55.341773986816406,2100,2099,64,-93982.484375,327,1.0000817775726318
22000,-1975.2632,-2.0265579223632812e-06,1e-05,50293192.0,-55.3426513671875,2200,2199,64,-350993.75,339,1.0001046657562256
23000,-216.65065,0.0,1e-05,6520282.5,-55.343318939208984,2300,2299,64,122401.3515625,354,1.000119924545288
24000,186.31747,0.0,1e-05,45947208.0,-55.34450149536133,2400,2399,64,-306274.84375,371,1.000153660774231
25000,2335.9016,0.0,1e-05,10744631.0,-55.345252990722656,2500,2499,64,-176057.109375,389,1.0001705884933472
26000,-3443.1099,5.960464477539063e-08,1e-05,13431834.0,-55.34502029418945,2600,2599,64,175714.03125,404,1.0001637935638428
27000,1339.5522,0.0,1e-05,25662406.0,-55.343727111816406,2700,2699,64,211334.53125,420,1.000128984451294
28000,-544.74713,0.0,1e-05,2961982.75,-55.3431396484375,2800,2799,64,68779.2109375,436,1.0001190900802612
29000,-1087.4431,1.7881393432617188e-07,1e-05,3078428.75,-55.343597412109375,2900,2899,64,-86360.5,451,1.0001267194747925
30000,-1044.1456,0.0,1e-05,27366320.0,-55.34369659423828,3000,2999,63,-242973.375,468,1.0001314878463745
31000,-416.9169,-3.2186508178710938e-06,1e-05,54093696.0,-55.344146728515625,3100,3099,63,-381678.78125,487,1.0001393556594849
32000,1042.8379,0.0,1e-05,37102508.0,-55.344539642333984,3200,3199,63,-314474.84375,503,1.0001519918441772
33000,96.90881,-1.1920928955078125e-07,1e-05,1179091.25,-55.34504318237305,3300,3299,63,-36176.66796875,522,1.0001639127731323
34000,-656.4052,1.1920928955078125e-07,1e-05,10993443.0,-55.344886779785156,3400,3399,63,-142235.578125,538,1.0001616477966309
35000,-3.8707285,0.0,1e-05,7339261.0,-55.34516525268555,3500,3499,62,-120734.0390625,555,1.0001648664474487
36000,-185.9651,1.7881393432617188e-07,1e-05,11313754.0,-55.344356536865234,3600,3599,63,-165109.578125,568,1.0001506805419922
37000,-786.5967,0.0,1e-05,8900875.0,-55.34479904174805,3700,3699,63,-154207.0,584,1.0001606941223145
38000,-2510.5603,-1.1920928955078125e-07,1e-05,27802534.0,-55.34587478637695,3800,3799,63,260406.15625,598,1.000185251235962
39000,-2237.9402,-1.1920928955078125e-07,1e-05,1018213.1875,-55.3444938659668,3900,3899,63,-21782.4453125,615,1.0001521110534668
40000,-2419.3926,0.0,1e-05,5404172.0,-55.344764709472656,4000,3999,63,-109765.2265625,628,1.0001559257507324
41000,886.8535,0.0,1e-05,14318767.0,-55.34482955932617,4100,4099,63,174161.1875,646,1.0001617670059204
42000,-536.64844,0.0,1e-05,21856294.0,-55.34418869018555,4200,4199,63,-223259.25,661,1.000137209892273
43000,-2106.2412,-1.1920928955078125e-07,1e-05,27549556.0,-55.34453201293945,4300,4299,63,-249517.546875,681,1.0001527070999146
44000,-631.29755,-1.1920928955078125e-07,1e-05,35995536.0,-55.344947814941406,4400,4399,63,-258417.359375,694,1.0001622438430786
45000,2732.391,0.0,1e-05,20496588.0,-55.343666076660156,4500,4499,62,-219932.046875,714,1.0001332759857178
46000,606.5551,0.0,1e-05,6971869.0,-55.3438606262207,4600,4599,63,-132258.40625,728,1.0001353025436401
47000,-828.20526,-1.1920928955078125e-07,1e-05,40415420.0,-55.3441276550293,4700,4699,62,-224115.28125,748,1.0001415014266968
48000,-50.602997,5.960464477539063e-08,1e-05,50192204.0,-55.34403610229492,4800,4799,62,-300315.25,762,1.0001381635665894
