time/total_timesteps,train/reward,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/clip_fraction,train/std,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/n_updates
2048,-7508.925,1,74,27,,,,,,,,,,,
4096,-5079.536,2,70,58,1e-05,0.2,60359798.175,-55.338725972175595,0.0,1.000006079673767,-5.4836273193359375e-06,-0.00027023800066672266,5.5832206e-06,35711984.0,10
6144,4558.809,3,71,86,1e-05,0.2,89392351.7,-55.33895101547241,0.0,1.0000118017196655,1.4066696166992188e-05,-0.00015267427661456168,2.1423912e-06,32462490.0,20
8192,-478.73663,4,69,118,1e-05,0.2,72175895.775,-55.339117240905765,0.0,1.0000150203704834,-7.3909759521484375e-06,-0.000215153131284751,4.341593e-06,50287216.0,30
10240,867.7582,5,69,146,1e-05,0.2,57758397.825,-55.339269804954526,0.0,1.0000190734863281,-6.079673767089844e-06,-0.00015259963111020626,3.6725542e-06,25651616.0,40
12288,-1023.3722,6,69,177,1e-05,0.2,84592930.325,-55.33966670036316,0.0,1.0000377893447876,1.0967254638671875e-05,-0.0003488361951895058,1.209107e-05,35250584.0,50
14336,758.4968,7,69,206,1e-05,0.2,65986760.375,-55.34026951789856,0.0,1.0000479221343994,1.233816146850586e-05,-0.0004500759649090469,1.7143786e-05,33555088.0,60
16384,-1751.6254,8,68,238,1e-05,0.2,52482546.5,-55.34058444499969,0.0,1.00005304813385,-7.748603820800781e-06,-0.000389602777431719,1.553609e-05,25279348.0,70
18432,-1076.324,9,68,267,1e-05,0.2,86137016.35,-55.34078352451324,0.0,1.0000582933425903,2.980232238769531e-07,-0.0003021846670890227,1.0761345e-05,29992928.0,80
20480,-3605.5505,10,68,298,1e-05,0.2,85998045.8,-55.340954184532166,0.0,1.000063180923462,1.3709068298339844e-06,-0.000583684045705013,2.6464928e-05,40606272.0,90
22528,411.24567,11,68,327,1e-05,0.2,79707184.175,-55.34139797687531,0.0,1.0000804662704468,-2.0265579223632812e-06,-0.00040762118878774346,1.5802245e-05,33469840.0,100
24576,757.9969,12,68,359,1e-05,0.2,75367496.975,-55.34195168018341,0.0,1.0000916719436646,3.4570693969726562e-06,-0.0004999126802431419,1.9130006e-05,34698068.0,110
26624,-387.99902,13,67,393,1e-05,0.2,57302327.55,-55.34239640235901,0.0,1.0001038312911987,4.76837158203125e-06,-0.0004450566601008177,1.9019615e-05,31364964.0,120
28672,-194.34357,14,67,424,1e-05,0.2,69043211.7,-55.34277634620666,0.0,1.000109314918518,7.3909759521484375e-06,-0.00046299315290525555,2.2519205e-05,35596568.0,130
30720,-706.3433,15,67,456,1e-05,0.2,64591031.275,-55.34328818321228,0.0,1.0001323223114014,-4.76837158203125e-07,-0.0005387448909459636,2.5089481e-05,24835864.0,140
32768,-521.2343,16,66,489,1e-05,0.2,75821949.675,-55.34398329257965,0.0,1.0001424551010132,6.9141387939453125e-06,-0.00044637080281972885,2.07118e-05,38794112.0,150
34816,77.57045,17,66,520,1e-05,0.2,49147532.925,-55.34435381889343,0.0,1.0001521110534668,-3.0994415283203125e-06,-0.0007386079640127718,4.3273263e-05,28835072.0,160
36864,458.7798,18,66,550,1e-05,0.2,80995437.0,-55.34483025074005,0.0,1.0001672506332397,-1.1920928955078125e-07,-0.0006564704061020165,3.5766338e-05,31875368.0,170
38912,312.9466,19,66,583,1e-05,0.2,85849256.125,-55.345388412475586,0.0,1.000180721282959,-6.079673767089844e-06,-0.0005639514973154291,2.5783607e-05,48061272.0,180
40960,-3365.3284,20,66,614,1e-05,0.2,58146407.85,-55.345894956588744,0.0,1.0001935958862305,-2.384185791015625e-07,-0.000510573189239949,2.2371358e-05,23872794.0,190
43008,-2157.1387,21,66,643,1e-05,0.2,72857789.775,-55.34635922908783,0.0,1.0002050399780273,-1.0728836059570312e-06,-0.0004032782991998829,1.577189e-05,34423848.0,200
45056,-598.8052,22,66,673,1e-05,0.2,62565408.2,-55.3468603849411,0.0,1.0002187490463257,3.4570693969726562e-06,-0.00037096834857948125,1.5058671e-05,30652956.0,210
47104,-403.76187,23,66,706,1e-05,0.2,79355156.3,-55.34769048690796,0.0,1.0002484321594238,1.7881393432617188e-06,-0.0003529398556565866,1.9792758e-05,29500294.0,220
49152,770.2267,24,66,739,1e-05,0.2,85445834.775,-55.348593306541446,0.0,1.0002624988555908,7.569789886474609e-06,-0.0005208311369642616,2.0278414e-05,42528408.0,230
51200,1264.7451,25,66,772,1e-05,0.2,64309556.9,-55.349140191078185,0.0,1.0002788305282593,1.4901161193847656e-06,-0.0006101066333940253,2.8328941e-05,37564628.0,240
53248,-2179.8628,26,66,806,1e-05,0.2,74683142.225,-55.34970493316651,0.0,1.0002905130386353,-9.179115295410156e-06,-0.00047635104856453837,2.1082757e-05,33614560.0,250
55296,-1414.6865,27,66,835,1e-05,0.2,69671660.075,-55.35005271434784,0.0,1.0002968311309814,1.0132789611816406e-06,-0.0005438447929918766,2.5002519e-05,31849184.0,260
57344,1662.1737,28,66,868,1e-05,0.2,70689652.025,-55.35068724155426,0.0,1.0003246068954468,1.6689300537109375e-06,-0.0005771916214143858,2.8253795e-05,37426640.0,270
59392,-5094.024,29,66,899,1e-05,0.2,91392683.15,-55.35155758857727,0.0,1.000339150428772,6.139278411865234e-06,-0.0005176053906325251,1.958062e-05,42563804.0,280
61440,-1078.7574,30,66,929,1e-05,0.2,72906139.575,-55.352014088630675,0.0,1.0003485679626465,-2.0265579223632812e-06,-0.00047588040179107337,2.1112442e-05,38466352.0,290
63488,952.3579,31,65,962,1e-05,0.2,54551995.9,-55.352281546592714,0.0,1.0003529787063599,6.496906280517578e-06,-0.0005265163577860221,2.0813139e-05,26975840.0,300
