time/total_timesteps,train/reward,train/learning_rate,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,time/time_elapsed,time/episodes
8116,-1920.9852,0.0001,0.2062125951051712,3242248.5,420.2041015625,8015,41,16255.9599609375,195,4
16232,-326.79346,0.0001,0.4635084569454193,4298111.5,203.7208251953125,16131,41,23222.052734375,390,8
24348,-657.44037,0.0001,1.0166242122650146,2391595.0,-3.0027661323547363,24247,41,34695.921875,587,12
32464,-618.50854,0.0001,1.378552794456482,6493923.0,-1.5258679389953613,32363,41,38354.59375,783,16
40580,-746.33673,0.0001,1.7318544387817383,3927851.0,-2.7315783500671387,40479,41,39197.07421875,980,20
48696,-260.54572,0.0001,1.998163104057312,7401418.5,-3.784111738204956,48595,41,42209.01953125,1175,24
56812,-562.3071,0.0001,2.16556715965271,5259603.0,2.185009479522705,56711,41,43330.98046875,1373,28
64928,-100.9138,0.0001,2.2351977825164795,3652227.25,-1.798656702041626,64827,41,45418.5078125,1570,32
73044,-137.44864,0.0001,2.193902015686035,2214825.75,0.7579122185707092,72943,41,49373.234375,1767,36
81160,-285.93478,0.0001,2.1371560096740723,3216893.0,0.6046613454818726,81059,41,48278.52734375,1963,40
89276,-87.85089,0.0001,2.1133670806884766,2760556.5,1.4725117683410645,89175,41,41963.87890625,2161,44
97392,-387.06296,0.0001,2.182830810546875,2552311.5,-2.4901559352874756,97291,41,50379.828125,2360,48
105508,-81.30114,0.0001,2.25488018989563,2855395.0,-0.624396800994873,105407,41,52240.171875,2557,52
113624,-37.3761,0.0001,2.398456573486328,1483756.25,-0.586746335029602,113523,41,51246.05859375,2755,56
121740,-10.165915,0.0001,2.4986236095428467,2182528.5,-4.061846733093262,121639,41,44352.0,2957,60
129856,-50.54649,0.0001,2.5824618339538574,1666509.125,-2.003117561340332,129755,41,46309.6640625,3154,64
137972,209.23805,0.0001,2.6406044960021973,2294914.75,-2.562093734741211,137871,41,46871.63671875,3352,68
146088,281.15857,0.0001,2.673579216003418,1030281.4375,-2.3132190704345703,145987,41,46590.9765625,3550,72
154204,174.26845,0.0001,2.6877286434173584,1548206.875,2.7888762950897217,154103,41,50595.3515625,3746,76
162320,-113.14706,0.0001,2.7083740234375,866002.875,-0.8014432191848755,162219,41,43054.5859375,3944,80
170436,-217.44922,0.0001,2.6992909908294678,886615.875,2.182206869125366,170335,41,40840.41796875,4139,84
178552,96.25047,0.0001,2.7069613933563232,940082.375,-0.25128769874572754,178451,41,40464.265625,4335,88
186668,348.8897,0.0001,2.7085928916931152,699638.5625,-1.4735760688781738,186567,41,42097.28515625,4530,92
194784,352.66946,0.0001,2.7118847370147705,764710.0,-0.4749065339565277,194683,41,46416.84375,4728,96
202900,-85.9954,0.0001,2.701944589614868,932576.375,4.791109085083008,202799,41,38251.87109375,4923,100
211016,392.79565,0.0001,2.6927244663238525,2004870.75,2.926232099533081,210915,41,46848.8671875,5118,104
219132,388.47278,0.0001,2.6820898056030273,526073.0,-1.3072919845581055,219031,41,35528.90234375,5311,108
227248,-90.0255,0.0001,2.6398472785949707,649835.25,-2.1475892066955566,227147,41,42982.6796875,5504,112
235364,229.6371,0.0001,2.5734548568725586,731607.0,0.5422221422195435,235263,41,42545.76171875,5698,116
243480,409.5637,0.0001,2.5287842750549316,811663.875,2.0934743881225586,243379,41,37640.484375,5891,120
251596,671.81836,0.0001,2.5110013484954834,1729068.25,-2.850693464279175,251495,41,38089.59375,6085,124
259712,785.2755,0.0001,2.488884687423706,792316.75,4.140395164489746,259611,41,32776.49609375,6277,128
267828,875.90375,0.0001,2.487135171890259,711021.875,0.3179382383823395,267727,41,38043.234375,6469,132
275944,669.2226,0.0001,2.4992222785949707,605509.75,1.1272714138031006,275843,41,30186.16796875,6663,136
284060,1340.1505,0.0001,2.4877963066101074,866062.625,2.4506964683532715,283959,41,29160.759765625,6855,140
292176,863.55133,0.0001,2.4710092544555664,838145.125,-1.3579137325286865,292075,41,28717.48828125,7045,144
300292,819.47546,0.0001,2.423997402191162,799714.75,1.9499828815460205,300191,41,34900.1640625,7235,148
308408,763.7346,0.0001,2.36722731590271,590081.4375,-0.13413596153259277,308307,41,26188.3046875,7428,152
316524,866.7494,0.0001,2.3613409996032715,901265.0625,2.101466655731201,316423,41,30104.265625,7620,156
324640,1158.2809,0.0001,2.380765199661255,612535.625,-1.9513739347457886,324539,41,23725.29296875,7812,160
332756,689.78094,0.0001,2.426553964614868,467800.0625,0.8915538787841797,332655,41,25867.91015625,8005,164
340872,1068.5647,0.0001,2.45853328704834,1043859.9375,-0.37395143508911133,340771,41,30320.681640625,8196,168
348988,868.9992,0.0001,2.536970376968384,654009.625,1.3700413703918457,348887,41,23446.33203125,8386,172
357104,1115.8931,0.0001,2.6426119804382324,785740.5625,-1.125582218170166,357003,41,22776.291015625,8576,176
365220,1161.4004,0.0001,2.7156600952148438,882009.5625,0.8261975049972534,365119,41,38777.6328125,8765,180
373336,1358.0651,0.0001,2.776170253753662,398626.0,-1.0888454914093018,373235,41,25591.375,8953,184
381452,1195.7838,0.0001,2.7859702110290527,2062442.75,-2.0848684310913086,381351,41,13688.701171875,9141,188
389568,1210.8573,0.0001,2.8071227073669434,546632.3125,-2.8205952644348145,389467,41,16033.9423828125,9332,192
397684,693.0143,0.0001,2.793323516845703,1040701.875,-5.448757171630859,397583,41,14541.939453125,9522,196
405800,1601.3704,0.0001,2.804476499557495,463432.59375,3.6397390365600586,405699,41,16168.5859375,9713,200
413916,1194.5891,0.0001,2.8318376541137695,452749.625,-0.8417596817016602,413815,41,11865.361328125,9902,204
422032,1131.6555,0.0001,2.8571829795837402,574572.125,0.4625740051269531,421931,41,17334.9375,10090,208
430148,1627.1235,0.0001,2.8852906227111816,549812.3125,-6.261340618133545,430047,41,18014.5546875,10279,212
438264,1919.9503,0.0001,2.8932247161865234,1024064.8125,-1.186684489250183,438163,41,18928.24609375,10467,216
446380,1744.9756,0.0001,2.86043381690979,531059.375,-3.786360263824463,446279,41,15536.236328125,10656,220
454496,1682.7113,0.0001,2.8345279693603516,691774.125,5.804441452026367,454395,41,26347.0390625,10841,224
462612,1947.8749,0.0001,2.823493480682373,476089.9375,-4.313516616821289,462511,41,16784.86328125,11030,228
470728,1644.873,0.0001,2.7890536785125732,377747.09375,-3.6904609203338623,470627,41,18144.77734375,11215,232
478844,1509.8075,0.0001,2.7590584754943848,700620.125,-3.525101661682129,478743,41,5414.94677734375,11404,236
486960,1306.5349,0.0001,2.7574026584625244,733558.125,-5.560793876647949,486859,42,10996.59375,11592,240
495076,1957.2067,0.0001,2.7573764324188232,549657.375,8.15941047668457,494975,42,16689.09375,11783,244
